StoryId,StoryName,StoryType,StoryContentAssetId,背景图片,触发单位id,回合数,TriggerTaskOnEnd,TriggerTaskId,AddItemId,AddItemCount,Remark
S0028,【主线】水灾的结束-院长,Dialogue,水灾的结束·院长,学院背景,探索后,23,,,,,
S0029,【主线】水灾的结束-卫队长,Dialogue,水灾的结束·卫队长,下水道,探索后,23,,,,,
S0030,【主线】水灾的结束-主教,Dialogue,水灾的结束·主教,教区背景,探索后,23,,,,,
S0031,【主线】水灾的结束-大祭司,Dialogue,水灾的结束·大祭司,教区背景,探索后,23,,,,,
S0032,【主线】水灾的结束-蓄水池,Dialogue,水灾的结束·蓄水池,下水道,探索后,23,,,,,
字段,说明,,,,,,,,,,
StoryContentAssetId,Unity 可视化剧情资产引用 ID；图片/文字具体内容不写在表格里。,,,,,,,,,,
StoryType,Dialogue / Image / Text；只决定播放类型和编辑器资产类型。,,,,,,,,,,
,,Dialogue,,,,,,,,,Dialogue 内容未来由 Unity 可视化资产编辑。
,,Image,,,,,,,,,Image 图片和翻页/分格内容不在表格中直接配置。
,,Text,,,,,,,,,Text 正文不在表格中直接配置，只引用可视化文本资产。
