DocumentId,Title,BodyText,ProposerCharacterId,DocumentType,FactionLogoName,DisasterId,DisasterStageId,TaskId,TaskStageId,IsRepeatable,Remark,OptionA_Text,OptionB_Text,OptionA_MoneyChange,OptionB_MoneyChange,OptionA_MaterialChange,OptionB_MaterialChange,OptionA_FoodChange,OptionB_FoodChange,OptionA_NobleSuspicionChange,OptionB_NobleSuspicionChange,OptionA_AcademySuspicionChange,OptionB_AcademySuspicionChange,OptionA_ChurchSuspicionChange,OptionB_ChurchSuspicionChange,OptionA_CivilianSuspicionChange,OptionB_CivilianSuspicionChange,OptionA_TaskScoreChange,OptionB_TaskScoreChange,OptionA_RequiredItemId,OptionB_RequiredItemId,OptionA_RequiredItemCount,OptionB_RequiredItemCount,OptionA_ConsumeItem,OptionB_ConsumeItem,OptionA_AddItemId,OptionB_AddItemId,OptionA_AddItemCount,OptionB_AddItemCount,OptionA_NextDocumentId,OptionB_NextDocumentId,OptionA_NextDocumentDelayRound,OptionB_NextDocumentDelayRound,OptionA_UnlockBuildingId,OptionB_UnlockBuildingId,OptionA_ResultText,OptionB_ResultText,OptionA_ProposerFeedbackText,OptionB_ProposerFeedbackText,OptionA_FeedbackFactionId,OptionB_FeedbackFactionId,OptionA_FactionFeedbackText,OptionB_FactionFeedbackText
D0011,粮商5·学院,大臣，在你决定将粮商留给我们后，学院已经把粮食都搬走了，唯独把粮商留下了，在昨天那个粮食不知道被谁扒了皮倒着钉死在了安全屋外，能不能安排个胆大的把他取下来。,C0001,Task,黑帮,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,谢天谢地，下城区的小伙子们都吐了。,别啊，光是看看我的人都腿软。,F0002,F0002,哪来的疯子干的这出。,我不会让我的卫队去干着活的。
D0012,流浪王室2,骷髅，我的子民即将收到天洪的袭扰，但我的儿子却没有出现在他作为王室应该出现的地方……请帮我把他带回来，哪怕只是作为稳定民心的花瓶，他也必须在这个宫殿。,C0022,Task,王室,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,同意,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,启动你是一个正确的决定。,,F0004,,王子双跑了？还好我们还有个王女。,
D0013,药浴,大臣，你还在忙？真羡慕你，不用收到水汽的困扰，我的关节如今都在嘎嘎作响，还好我们发现了应该如何去解决——泡药浴！能不能让下城区的人多送点药草来啊？,C0025,Task,贵族,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,哦~我等不及享受温泉了。,真是过分啊，大臣，真是过分。,F0001,F0004,我的孩子在感冒，药为什么还在涨！,现在的库存可泡不了几天了。
D0014,下城区骚乱,老大，下城区已经有小型骚乱发生了，可调度的冒险者已经不够用了，能不能允许下城区组建一只临时的治安巡逻队？,C0004,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,希望这样子可以安分点。,那我再想想其他办法。,F0001,F0001,现在只是抱怨两句就要被堵上嘴！,我接漏水的水缸被人偷了！
D0015,上城区抱怨,骷髅，你是不是有些太偏心下城区的那些贱民了，搞清楚，是我们在维持这个国家运转！没有我们的恩准，他们甚至无权在我们的土地上种地！我要求以后物资优先给我们。,C0026,Task,贵族,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,呵，你还算拎得清。,注意你的安全，骷髅！,F0001,F0004,那我们呢？,这是纯粹的挑衅！
D0016,邪教徒冒头,老大，那群挨千刀的邪教徒又混进来冒头了，冒险者完全不够用，能不能额外雇点人去处理一下这些老鼠。,C0004,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,太好了，我这就安排人去捕鼠。,啊……那我再努力努力吧。,F0001,F0001,赶紧把那些疯子扫出去。,那些恶心的家伙大半夜在那传教！
D0017,粮食减产,下城区的本来就不多的耕地现在产量越来越少了，学院和贵族田里长出来的粮食可不会到真正的穷鬼嘴里——所以至少要让学院多出点肥料！,C0001,Task,黑帮,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,至少教会救济院门口可以少一点饿死鬼排队了。,那就稍微想想办法，改变一下现状？,F0002,F0002,大臣，我们不是福利机构。,不是教会喜欢当滥好人吗，让他们继续。
D0018,危险商路,您听说了吗，最近有一支新的商队抵达了王都，而他们所走的路虽然危险但拦路的土匪实在是太多，如果您愿意带头出资剿匪的话，大家一定愿意一起维护商路稳定的。,C0005,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,我懂，我懂，七成是您的。,我只能独占全部收入了。,F0001,F0001,大臣来了，这商路就太平了！,解释解释，什么叫他妈的剿匪税？
D0019,下城区污水管泄露,下城区有根污水管爆掉了，味道隔着几条街我都闻得到，我们正在组织人去维修，但需要您在下城区开始粪海蝶泳之前同意拨款购入材料。,C0004,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,我立刻安排下去！,……下城区什么时候多了一个棕色喷泉？,F0001,F0001,求求你快点，我感觉不到鼻子了！,屎？！
D0020,诡异动静,教区的边界处出现了很多奇怪的爪痕，可能是某种危险生物。为了平民的安全，我有责任在此请求您对此展开调查……尤其是对于学院那边，他们从来管不好实验动物。,C0020,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,我不会容忍亵渎之物危害神的信徒的。,无妨，护教军会自己抓住那只畜生的。,F0002,F0002,这简直就是毫无依据的指控。,还请不要找借口把城市弄的一团糟。
D0021,滥用私刑,有上城区卫兵在借着外派执勤的名义，去到下城区殴打平民勒索保护费。这种现象已经不是第一次发生了，必须对涉事者进行审查，让他们管好自己的手。,C0016,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这样子至少可以让他们安分一阵子。,终有一日，积压的怒意会宣泄而出的。,F0004,F0004,这就是规矩，不是吗，有什么不对。,那一天还没到呢。
D0022,救济粮,教会正在筹划一次面向无业贫民的大型布道活动，在事后会进行分发一些救济粮，希望您批准对大型集会提供许可。,C0017,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,对于那些人来说，干硬的黑面包就是生活的希望。,希望您在未来可以为他们找到新的出路……,F0004,F0001,好端端的粮食就被这样子给了穷人，糟蹋啊。,不给我们面包，就给我们工作！
D0023,潜在暴乱,上城区的一些卫兵里有疑似有邪教徒混入在试图煽动破坏，为了避免来自下城区的卫兵加入，必须将他们打散重新安排。,C0027,Task,贵族,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,打乱编制,拒绝改变,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,没了同伙，潜在的暴徒就不成气候。,什么意思，拿我们当危险分子？,F0001,F0004,别对他们太信任了，抓紧找到源头吧。,天哪，现在连卫兵都不能信任了吗。
D0024,大公会,一些有势力扶持的大公会在业务上有垄断趋势，一些小工会已经门可罗雀，为了健康的市场生态，最好通过平衡一下任务发放来帮助这些小工会的生存。,C0004,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,有时候有形的铁靴必须踩在无形的大手之上。,这不太利于冒险者市场的发展……,F0002,F0002,那是合法合规的市场竞争。,这是市场自己得出的结果。
D0025,技术间谍,学院工坊外围出现了一些形迹可疑的人，恐怕是走私犯或者技术间谍。为了防止他们暗中搞破坏，我希望可以允许学院进行卫队的调度。,C0012,Task,工坊,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,D0026,,1,0,,,,,卫队将暂时进驻在工坊。,呼，终于可以不用担心技术小偷了。,F0002,F0003,那我们的专利谁来保护。,也许你们应该把精力放在创新而不是守旧。
D0026,卫队扩充,卫队接下来的行动需要更多人手，我们希望允许学院少量扩充卫兵数量，配套的装备和器材也需要更新。,C0012,Task,工坊,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,我们纯粹是为了自保。,只有现在这点人力，怎么领导巡查？,F0003,F0003,规矩只要撕开口子就停不下来了。,穷兵黩武通常是失控的前兆。
D0027,食肉植物,一株巨大的食肉植物挡在了遗迹的主通道里，在拿我们的冒险者当下午茶，我们要不要调度一些精锐带着学院的最新武器去把它烧咯。,C0004,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,哈，蔬菜烧烤！,好了好了，这下坏了......,F0002,F0001,学院卫队会对此次行动提供支援。,我们是不是还要提前给自己撒点佐料。
D0028,呕吐病,那些工厂直接朝水源里排放工业废物，喝了这些水的人就会止不住地呕吐，医院已经焦头烂额了。学院必须为此负责！,C0017,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,问责学院,假装不知,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,对病人的赔款一分都不能少。,太荒谬了，您明明知道是谁导致了这一切。,F0002,F0002,再重申一遍，呕吐病情和工厂没有关系。,无非是想要索取赔款的小手段而已。
D0029,净化设备,啊！那些刺鼻的废气到处飘散，搞得我逛花园的兴致都没了，赶紧让那些工坊加个什么净气设备吧，直接关停了最好！,C0026,Task,贵族,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,你自己去说,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,呵，这才像话。,有这种味道，谁还愿意出门赏花去？,F0004,F0004,空气可算要清新点了，接着奏乐吧。,不管是从环境保护还是别的方面，这可都不是什么明智的选择。
D0030,新图书馆,现在的图书馆有些陈旧，连带着里面的历史古籍都老化了。为了保存我们宝贵的文化遗产，您不觉得该从税款中分一部分对图书馆进行翻新吗？,C0026,Task,贵族,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,太好了，我很期盼早日看到图书馆焕然一新的样子。,后世会诟病这个决定的。,F0001,F0001,我们辛苦缴的税就用来修那破屋子了？,得了吧，我们已经开始诟病你了。
D0031,异端追猎,我们有确凿理由相信，一个宣传应该用神术控制贫民并偷窃教会遗物的异端正躲藏在学院之中，为了保证抓捕的成功率，我们准备突袭他的藏身处，希望批准此次突袭。,C0016,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,感谢您的批准，护教军，立刻展开猎巫行动。,这是学院对一个异端的政治庇护！,F0002,F0002,这是对学院民众的人身侵害，我们强烈谴责这种无端污蔑。,这是相当严重的指控，学院拒不接受。
D0032,解剖展示,您不觉得将一只堕落者在公开课上解剖掉有助于学徒们试着了解这种现象吗？我们已经搞到了样本，但是教会那边需要您帮忙安抚一下，他们对这些东西可魔怔了。,C0010,Task,学院,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这块是肠子、这块是胃、这块.....这块是什么玩意？,切，多好的教学机会啊。,F0003,F0003,这些亵渎之物应该被火焰焚尽，哪有堂而皇之展示的道理？,我们会派人来妥善处理那个样本的。
D0033,化尸水,两天前有个学徒掉学院的水管系统里淹死了，现在尸体还没捞出来，关键是这个水管还连着下城区，您得帮忙管控下流言蜚语，反正喝不死人，但舆论是真能要命。,C0012,Task,工坊,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,如果您过意不去，我可以往水池里撒点佐料调味。,好吧，这回那些刁民又该气炸了。,F0001,F0001,这水尝着......何异味？,你们就说这种水干净又卫生？！
D0034,广播系统,在下城区铺设一整套广播系统定期报时并念诵教义将会很有利于巩固信仰，还能取代一些只会死背教条的教会腐肉，您的政令也能更方便的推行，何乐而不为呢？,C0016,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,定期的传道定能帮助人们找到方向。,也许您有别的考量。,F0001,F0003,至少有个报时的了。,呼……差点失业了。
D0035,移动餐车,我们应当组建移动餐车队伍，一边向难民分发食物一边布道，既能帮助人们又能传播神谕，但大祭司觉得纯粹的施舍只会适得其反，希望您可以为我们提供一些食物。,C0017,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,吃不起饭的人们会很高兴听到这消息的。,这不是个仁慈的决定。,F0003,F0003,车队将自王宫出发，一直行驶到下城区的最边缘。,由于不可抗力，我们只能遗憾地宣布计划取消。
D0036,学院剿匪,那些荒野上的土匪最近连运着我们学院货品的商队都敢截了，看来他们是忘了自己有几斤几两，必须让卫队出城，让他们长点教训。,C0011,Task,学院,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,犯王都疆土者，卫队必击而破之。,已严肃支持重新扫清商路周遭。,F0002,F0002,这下商人们会很难办的。,进口贸易额因为抢劫问题严重缩水了，这不是什么好迹象。
D0037,魔导系统,王宫不少地方居然还在使用油灯和垃圾，我计划在王宫和附近区域先行推广教会与学院一同研究的魔导技术来负责照明和功能，我们还能不能拨出一笔专款？,C0023,Task,王室,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这将是整个王国的一次进步。,啊，灯是多美好的发明啊。,F0004,F0004,我们现在居然连这些钱都没了。,好吧，反正也不是什么大事。
D0038,军火走私,哦，阁下，下城区的帮派开始为其他城市提供军火走私业务了，既然有这个市场需求，为何不干脆把仓库里那些快报废的破烂拿去倾销，成为最大的供应商呢？,C0005,Task,工会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,啊哈！我就知道您的商业嗅觉足够灵敏。,这只是一个提案……,F0001,F0001,为什么这批货是上一代制式武器？,再让外面那帮人拿枪到处耍，就没人能睡个好觉了。
D0039,尸体失窃,我们高贵的家族墓地之中竟然出现了遗体失窃的案件，那些学院的家伙竟然为了所谓的科学而亵渎逝者，我现在严正要求对学院展开调查，必须要揪出犯案者！,C0023,Task,王室,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,至少要对死者保持尊敬！,啊，就连我祖父的在天之灵都会谩骂您的。,F0002,F0002,你们尽管查吧，这都是为了科学。,目前没有什么证据证明灵魂存在。
D0040,效率改造,我们研究出了新的面部与呼吸道的廉价改造，改造者无惧风尘与一部分化学毒气，吃饭则直接用营养糊灌入即可，能明显地提高效率，希望可以在卫队与工人之中普及。,C0011,Task,学院,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这对效率与收益来说是至关重要的。,这是对人权的彻底物化与践踏。,F0003,F0003,这个提案是为了他们的健康。,只要提案通过，为了利益会开除所以不做改造的工人。
D0041,罪犯去处,监狱中的罪犯太多了，申请进行公开处决以儆效尤,C0010,Task,学院,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,见识到那些家伙的下场后，犯罪率会越来越低的。,那您就得着手扩建监狱了。,F0001,F0001,一个人只是偷了面包果腹就被送去挖矿了！,你不能少抓点吗。
D0042,滚筒抄写,那些教会的人花费了太多时间用来抄写经文，为什么不对这个流程进行自动化呢？我把一些滚筒抄写机或者说抄写机仆卖给教会，只需要您帮忙对接一下就好，会给中介费。,C0001,Task,黑帮,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这个交易对大家都好。,可惜，那可是一大笔收入,F0003,F0003,大祭司绝对给那些混日子的抄写员安排重活。,机器是没有灵魂的……而且抄写员会失业的。
D0043,新塔楼,我们觉得上城区有一座崭新的塔楼用来报时的话会变得更完美，请帮忙开一下建筑许可证吧，顺便拨点款，给点建材？,C0026,Task,贵族,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,看这图纸，建成后它将多养眼啊。,哎，多么令人失望啊,F0004,F0004,已经等不及啦，快快端上来吧。,那么一大片空地居然不能利用，太可惜了。
D0044,水管堵塞,有一群堕落者融合到了一起堵死了学院那片下面，现在需要将其彻底灭活，一个办法是派卫队一点点用火烧，另一个则是用毒气把它闷死，不过可能会误伤一些流浪者。,C0011,Task,学院,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,派人用火烧,用毒吧,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,您做出了理性的衡量。,卫队的伤亡很可能超出可接受范围。,F0001,F0001,什么是理性，让平民和肉块一起被毒死吗？,那是你们。
D0045,倒卖义体,大臣阁下，我这边正好翻新了一批义体，九九成新的好玩意。我最近缺钱，如果您愿意，我能以成本价转手给您，到时候您再安排倒卖给那些冒险者，保证不亏的！,C0001,Task,黑帮,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,阁下付款就是爽快啊。,哦，呃，看来我只能去自己想办法了。,F0001,F0002,这些垃圾义体都是哪里冒出来的！,请各位冒险者注意，不要为了便宜而购买未经质检的义体。
